dar_watershed_code,island,ahupuaa,watershed,pcaref,area_watershed_sqkm,max_elevation_watershed-m,dar_cluster_code,agricultural_percent,conservation_percent,rural_percent,urban_percent,land_cover_rating,shallow_waters_rating,stewardship_rating,size_rating,wetness_rating,reach_diversity_rating,total_watershed_rating,native_species_rating,introduced_genera_rating,all_species_score_rating,total_biological_rating,overall_rating,raiting_strength
32008,OAHU,HEEIA,HEEIA,U,9.1,830,4,0,56.6,0,43.4,7,7,1,2,3,5,6,6,5,5,4,5,5
61011,MAUI,HONOKOHAU,HONOKOHAU,P,21,1761,6,6,94,0,0,10,0,8,2,7,7,9,8,9,9,8,9,7
61010,MAUI,HONOLUA,HONOLUA,P,11.6,1316,NA,23.7,76.3,0,0,9,1,4,2,4,7,7,NA,NA,5,4,6,4
32014,OAHU,KAILUA,KAELEPULU,U,11.8,494,NA,5.5,28.4,0,66.1,4,10,0,3,2,4,5,NA,NA,NA,NA,NA,1
61005,MAUI,KOHOMA,KAHOMA,P,14.9,1757,5,14.4,70.7,0,14.9,8,0,4,6,4,6,7,1,9,5,4,6,5
34004,OAHU,KALAUAO,KALAUAO,U,8.9,856,NA,0.5,63.3,0,36.2,6,6,2,1,4,6,6,0,8,3,2,4,5
32013,OAHU,KAILUA,KAWAINUI,U,29.2,939,5,14.2,66.7,0,19.1,7,10,2,4,3,6,8,7,3,5,4,6,7
81080,HAWAII,KOHOLALELE,KOHOLALELE,A,14.7,1964,NA,92.8,7.2,0,0.1,8,0,0,3,3,5,4,NA,NA,NA,NA,NA,1
61041,MAUI,LAHAINA,LAHAINA,A,8.9,765,NA,65.6,9.6,0,24.8,6,0,0,2,0,3,2,0,9,4,3,2,2
61003,MAUI,LAUNIUPOKO,LAUNIUPOKO,P,8.8,1426,5,43.3,56.7,0,0,8,0,4,2,1,4,4,0,9,4,3,4,2
61002,MAUI,OLOWALU,OLOWALU,P,12.3,1587,5,15.9,84.1,0,0,8,0,5,2,3,4,5,4,9,5,5,5,6
81078,HAWAII,PAAUILO,PAAUILO,A,15.1,1210,NA,79.6,16,0,4.5,8,0,0,1,3,3,3,NA,NA,NA,NA,NA,1
62007,MAUI,WAIHEE,WAIHEE,P,18.5,1736,5,13.8,83.8,2.2,0.2,9,0,5,4,5,6,7,6,10,5,6,7,6
66010,MAUI,WAIKAPU,WAIKAPU,A,157.6,3053,NA,78.6,17.6,2.7,1,6,1,2,4,1,10,6,4,7,5,4,5,6
32015,OAHU,WAIMANALO,WAIMANALO,U,16.2,785,5,32.4,31.7,0,36,7,3,2,3,2,2,4,3,6,5,4,4,5
36010,OAHU,WAIMEA,WAIMEA,P,35.1,710,4,8.3,91.7,0,0,9,2,2,5,5,4,7,8,5,4,5,6,7
82081,HAWAII,KEAUKAHA,KEAUKAHA,U,6.6,39,NA,38.1,0,0,61.9,6,2,0,0,5,0,3,NA,NA,5,4,4,2
82061,HAWAII,WAILOA,WAILOA,P,255.4,2964,NA,20.4,70.9,0,8.7,9,5,2,4,6,7,8,9,3,3,4,6,7
82056,HAWAII,HONOLII,HONOLII,P,39.2,1867,6,21,78.4,0,0.6,9,0,5,4,8,6,8,8,7,9,8,9,9
