q,id,location,agar_type,cfu_100ml
1,KalepaB.Kope.muliwai_43625,KalepaB.Kope.muliwai,CHROM,1400
2,KalepaB.Kope.muliwai_43625,KalepaB.Kope.muliwai,CHROM,1700
3,KalepaB.Kope.muliwai_43625,KalepaB.Kope.muliwai,CHROM,1760
4,KalepaB.Kope.muliwai_43625,KalepaB.Kope.muliwai,CHROM,2520
5,KalepaB.Kope.muliwai_43625,KalepaB.Kope.muliwai,CHROM,2200
6,KalepaB.Kope.muliwai_43625,KalepaB.Kope.muliwai,CHROM,2100
7,KalepaB.Kope.muliwai_43625,KalepaB.Kope.muliwai,CHROM,3300
8,Waihee.muliwai.1_43625,Waihee.muliwai.1,CHROM,70
9,Waihee.muliwai.1_43625,Waihee.muliwai.1,CHROM,60
10,Waihee.muliwai.1_43625,Waihee.muliwai.1,CHROM,50
11,Waihee.muliwai.1_43625,Waihee.muliwai.1,CHROM,80
12,Waihee.muliwai.1_43625,Waihee.muliwai.1,CHROM,60
13,Waihee.muliwai.1_43625,Waihee.muliwai.1,CHROM,80
14,Waihee.muliwai.1_43625,Waihee.muliwai.1,CHROM,100
15,Waihee.muliwai.1_43625,Waihee.muliwai.1,CHROM,200
16,Waihee.muliwai.1_43625,Waihee.muliwai.1,CHROM,200
17,Waihee.muliwai.2_43625,Waihee.muliwai.2,CHROM,280
18,Waihee.muliwai.2_43625,Waihee.muliwai.2,CHROM,260
19,Waihee.muliwai.2_43625,Waihee.muliwai.2,CHROM,230
20,Waihee.muliwai.2_43625,Waihee.muliwai.2,CHROM,100
21,Waihee.muliwai.2_43625,Waihee.muliwai.2,CHROM,240
22,Waihee.muliwai.2_43625,Waihee.muliwai.2,CHROM,280
23,Waihee.muliwai.2_43625,Waihee.muliwai.2,CHROM,900
24,Waihee.muliwai.2_43625,Waihee.muliwai.2,CHROM,200
25,Waihee.muliwai.2_43625,Waihee.muliwai.2,CHROM,1100
26,Waihee.muliwai.3_43625,Waihee.muliwai.3,CHROM,250
27,Waihee.muliwai.3_43625,Waihee.muliwai.3,CHROM,230
28,Waihee.muliwai.3_43625,Waihee.muliwai.3,CHROM,140
29,Waihee.muliwai.3_43625,Waihee.muliwai.3,CHROM,340
