1,sample_no,sample_replicate,target_name,fema_100ml,fema_g,log_fema_100ml,log_fema_g
2,MAUI_0005,MAUI_0005_0,femA,,358660.5713,,5.554683636
3,MAUI_0005,MAUI_0005_0,femA,,401189.917,,5.603350009
4,MAUI_0005,MAUI_0005_0,femA,,335222.5586,,5.525333237
5,MAUI_0006,MAUI_0006_0,femA,,552084.2285,,5.742005341
6,MAUI_0006,MAUI_0006_0,femA,,672586.3281,,5.827748035
7,MAUI_0006,MAUI_0006_0,femA,,647886.2793,,5.811498783
8,MAUI_0007,MAUI_0007_0,femA,,516573.6328,,5.713132235
9,MAUI_0007,MAUI_0007_0,femA,,725321.9727,,5.860530834
10,MAUI_0007,MAUI_0007_0,femA,,557355.4688,,5.746132267
11,MAUI_0008,MAUI_0008_0,femA,,420101.709,,5.623354448
12,MAUI_0008,MAUI_0008_0,femA,,613913.2324,,5.788106994
13,MAUI_0008,MAUI_0008_0,femA,,466726.4648,,5.669062427
14,MAUI_0001,MAUI_0001_0,femA,,773655.7129,,5.888547737
15,MAUI_0001,MAUI_0001_0,femA,,1008493.848,,6.003673253
16,MAUI_0001,MAUI_0001_0,femA,,897279.4922,,5.952927742
17,MAUI_0002,MAUI_0002_0,femA,,221541.6748,,5.345455435
18,MAUI_0002,MAUI_0002_0,femA,,224897.3145,,5.351984269
19,MAUI_0002,MAUI_0002_0,femA,,218842.0898,,5.340130853
20,MAUI_0003,MAUI_0003_0,femA,,69083.70972,,4.839375651
21,MAUI_0003,MAUI_0003_0,femA,,76788.92822,,4.885298606
22,MAUI_0003,MAUI_0003_0,femA,,64310.21118,,4.808279936
23,MAUI_0004,MAUI_0004_0,femA,,172527.002,,5.236857076
24,MAUI_0004,MAUI_0004_0,femA,,152761.2427,,5.184013183
25,MAUI_0004,MAUI_0004_0,femA,,141709.0454,,5.151397573
26,MAUI_0018,MAUI_0018_0,femA,,31575.96436,,4.499356623
27,MAUI_0018,MAUI_0018_0,femA,,31519.48242,,4.498579077
28,MAUI_0018,MAUI_0018_0,femA,,26963.48267,,4.430775986
29,MAUI_0019,MAUI_0019_0,femA,,110348.4497,,5.042766236
30,MAUI_0019,MAUI_0019_0,femA,,113366.5527,,5.054484941
31,MAUI_0019,MAUI_0019_0,femA,,94707.07397,,4.976382419
32,MAUI_0020,MAUI_0020_0,femA,,69727.50854,,4.843404148
33,MAUI_0020,MAUI_0020_0,femA,,60363.95874,,4.780777714
34,MAUI_0020,MAUI_0020_0,femA,,52347.15576,,4.71889309
35,MAUI_0021,MAUI_0021_0,femA,,182391.1865,,5.261003849
36,MAUI_0021,MAUI_0021_0,femA,,144771.6675,,5.160683577
37,MAUI_0021,MAUI_0021_0,femA,,146237.2192,,5.16505792
38,MAUI_0022,MAUI_0022_0,femA,,71997.32666,,4.857316371
39,MAUI_0022,MAUI_0022_0,femA,,63173.9502,,4.800538034
40,MAUI_0022,MAUI_0022_0,femA,,51714.32495,,4.71361086
