y,id,temp_c,do_percent,do_mg_l,spc_us,sal_ppt,ph,water_level_cm,turbidity,tdn_umol_l,tdp_umol_l,po4_umol_l,si_umol_l,nox_umol_l,nh4_umol_l,toc_umol_l,cor_tdn_umol_l,cor_tdp_umol_l,cor_po4_umol_l,cor_nox_umol_l,cor_nh4_umol_l
1,HIHIMANU_S4T1,28.5,127.2,7.96,48828.66667,31.83,7.846666667,,,,,,,,,,,,,,
2,HIHIMANU_S4T2,29.73333333,120,7.51,48795.66667,31.71666667,7.873333333,35,,,,,,,,,,,,,
3,HIHIMANU_S4T3,30.16666667,130.6333333,8.12,48881.33333,31.78,2470.94,31,,,,,,,,,,,,,
4,HIHIMANU_S4T4,30.8,121.3666667,8.596666667,44659.33333,30.28666667,7.896666667,26,,,,,,,,,,,,,
5,HIHIMANU_S4T01,28.4,94.13333333,6.103333333,47221.66667,30.61666667,7.736666667,21.5,,,,,,,,,,,,,
6,HIHIMANU_S4T02,30.16666667,124.6,7.76,47158.66667,30.51,7.873333333,21.66666667,,,,,,,,,,,,,
7,HIHIMANU_S4T03,31.2,180.7333333,11.01,50109,32.63,8.05,58,,,,,,,,,,,,,
8,HIHIMANU_S4T04,31.75,199.15,12.33,49613,32.265,8.225,56,,,,,,,,,,,,,
9,HIHIMANU_S4T05,30.13333333,153.9666667,9.706666667,48990,31.79666667,8.146666667,56,,,,,,,,,,,,,
10,HIHIMANU_S4T06,29,132.5666667,8.226666667,46054,29.81333333,8.126666667,46.33333333,,,,,,,,,,,,,
11,HIHIMANU_S4T07,29.5,56.56666667,4.203333333,48322.33333,31.39333333,7.766666667,44.33333333,,,,,,,,,,,,,
12,HIHIMANU_S4T08,27.63333333,73.93333333,5.036666667,36369,22.87666667,7.646666667,23.33333333,,,,,,,,,,,,,
13,HIHIMANU_S4T09,31.46666667,82.03333333,4.986666667,48506.66667,31.44666667,7.726666667,24.33333333,,,,,,,,,,,,,
14,HIHIMANU_S4T10,32.13333333,181.8,11.2,46318,29.92,8.02,26.33333333,,,,,,,,,,,,,
15,HIHIMANU_S4T11,31.03333333,186.8333333,11.59666667,50811,33.13,8.053333333,71.66666667,,,,,,,,,,,,,
16,HIHIMANU_S4T12,31.16666667,191.4333333,11.79,50933.66667,33.27666667,8.07,,,,,,,,,,,,,,
17,KEALOHI_S2T1,28.15,109,8.555,51702,33.915,7.9,,,,,,,,,,,,,,
18,KEALOHI_S2T2,28.75,114,7.385,47527.5,30.74,7.86,25,,,,,,,,,,,,,
19,KEALOHI_S2T3,28.7,94.7,6.32,43747.5,28.53,7.8,24.5,,,,,,,,,,,,,
20,KEALOHI_S2T4,29.65,105.6,7.055,42174.5,26.94,7.865,38.5,,,,,,,,,,,,,
21,KEALOHI_S2T01,26.4,107.45,7.25,44096.5,28.41,7.795,19,,,,,,,,,,,,,
22,KEALOHI_S2T02,29,124.6,8.275,41311.5,26.34,7.755,12,,,,,,,,,,,,,
23,KEALOHI_S2T03,29.1,151.55,9.75,49545.5,32.405,7.99,41.5,,,,,,,,,,,,,
24,KEALOHI_S2T04,29.2,158.2,10.065,51839,33.94,7.995,77,,,,,,,,,,,,,
25,KEALOHI_S2T05,30.4,172.85,11.385,37482,24.05,8.14,62,,,,,,,,,,,,,
26,KEALOHI_S2T06,29.95,106.2,6.475,48907.5,31.585,7.915,32,,,,,,,,,,,,,
27,KEALOHI_S2T07,27.5,109.05,7.445,43991.5,28.29,8.06,39.5,,,,,,,,,,,,,
