x,location,watershed,site_enviro,site_type,site_salinity,lattitude,longitude,elevation,max_elevation_watershed-m,wsp,group_by_water_shed_percent,group_by_elevation,distribution,watershed_order,mauka,norm_order,norm_watershed_order,watershed_mauka,type_norm_order
1,Honolii,HONOLII,Marine,Ocean,Marine,19.7563774,-155.0904238,0,39.2,0,KAI,KAI,1,HONOLII_1,KAI,10,HONOLII_10,HONOLII_KAI,3.Urban_HONOLII_10
2,Onekahakaha,KEAUKAHA,Marine,Ocean,Marine,19.7385834,-155.0391203,0,6.6,0,KAI,KAI,1,KEAUKAHA_1,KAI,10,KEAUKAHA_10,KEAUKAHA_KAI,3.Urban_KEAUKAHA_10
3,Puhi_Bay,KEAUKAHA,Marine,Ocean,Marine,19.7322414,-155.046373,0,6.6,0,KAI,KAI,1,KEAUKAHA_1,KAI,10,KEAUKAHA_10,KEAUKAHA_KAI,3.Urban_KEAUKAHA_10
4,Richardson,KEAUKAHA,Marine,Ocean,Marine,19.7369272,-155.0135642,0,6.6,0,KAI,KAI,1,KEAUKAHA_1,KAI,10,KEAUKAHA_10,KEAUKAHA_KAI,3.Urban_KEAUKAHA_10
5,Kalapahapuu,KOHOLALELE,Freshwater,Stream,Freshwater,20.0336668,-155.3553501,219.4,1964,0.111710794,MID.2,MID.1,2,KOHOLALELE_2,KALA,5,KOHOLALELE_5,KOHOLALELE_KALA,3.Urban_KOHOLALELE_5
6,Koholalele_Kai,KOHOLALELE,Marine,Ocean,Marine,20.0486243,-155.3506723,3.9,1964,0.001985743,MAKAI,MAKAI,3,KOHOLALELE_3,MAKAI,7,KOHOLALELE_7,KOHOLALELE_MAKAI,3.Urban_KOHOLALELE_7
7,KaluaoLono_punawai_Lepelau,KOHOLALELE,Freshwater,Stream,Freshwater,20.0212343,-155.3598134,417.6,1964,0.212627291,MID.1,MAUKA.3,1,KOHOLALELE_1,MAUKA,3,KOHOLALELE_3,KOHOLALELE_MAUKA,3.Urban_KOHOLALELE_3
8,Kahua_Waipunalau,PAAUILO,Freshwater,Spring,Freshwater,20.0135854,-155.3816968,592.8,1210,0.489917355,MAUKA.3,MAUKA.2,1,PAAUILO_1,MAUKA,3,PAAUILO_3,PAAUILO_MAUKA,3.Urban_PAAUILO_3
9,Waihalulu,PAAUILO,Freshwater,Spring,Freshwater,20.0361651,-155.3738004,293.7,1210,0.242727273,MID.1,MAUKA.3,2,PAAUILO_2,KALA,4,PAAUILO_4,PAAUILO_KALA,2.Aggriculture_PAAUILO_4
10,Waipunalau_Paauilo,PAAUILO,Freshwater,Stream,Freshwater,20.0404414,-155.3710279,233.6,1210,0.193057851,MID.2,MID.1,3,PAAUILO_3,KALA,5,PAAUILO_5,PAAUILO_KALA,2.Aggriculture_PAAUILO_5
11,Waipunalau_Pakii,PAAUILO,Freshwater,Stream,Freshwater,20.0404414,-155.3710279,233.6,1210,0.193057851,MID.2,MID.1,3,PAAUILO_3,KALA,5,PAAUILO_5,PAAUILO_KALA,2.Aggriculture_PAAUILO_5
12,Bayfront,WAILOA,Marine,Ocean,Marine,19.7237177,-155.0739247,0,2,0,KAI,KAI,1,WAILOA_1,KAI,10,WAILOA_10,WAILOA_KAI,1.Pristine_WAILOA_10
13,Reeds_Bay,WAILOA,Marine,Ocean,Marine,19.7258184,-155.0626808,0,2,0,KAI,KAI,1,WAILOA_1,KAI,10,WAILOA_10,WAILOA_KAI,1.Pristine_WAILOA_10
14,Honokohau.Bowl,HONOKOHAU,Freshwater,Waterfall,Freshwater,20.90891,-156.58375,778.5,1761,0.442078365,MAUKA.3,MAUKA.2,1,HONOKOHAU_1,MAUKA,3,HONOKOHAU_3,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_3
15,Honokohau.crossing,HONOKOHAU,Freshwater,Stream,Freshwater,21.008158,-156.606245,28.6,1761,0.016240772,MAKAI,MAKAI,4,HONOKOHAU_4,MAKAI,8,HONOKOHAU_8,HONOKOHAU_MAKAI,1.Pristine_HONOKOHAU_8
16,Honokohau.loi.hoi,HONOKOHAU,Agriculture,Loi,Freshwater,21.008654,-156.606187,28.7,1761,0.016297558,MAKAI,MAKAI,4,HONOKOHAU_4,MAKAI,8,HONOKOHAU_8,HONOKOHAU_MAKAI,1.Pristine_HONOKOHAU_8
17,Honokohau.muliwai,HONOKOHAU,Brackish,Muliwai,Brackish,21.020774,-156.609344,1.3,1761,0.000738217,MAKAI,MAKAI,5,HONOKOHAU_5,MAKAI,8,HONOKOHAU_8,HONOKOHAU_MAKAI,1.Pristine_HONOKOHAU_8
18,Honokohau.Right.bowl,HONOKOHAU,Freshwater,Waterfall,Freshwater,20.90891,-156.58375,778.5,1761,0.442078365,MAUKA.3,MAUKA.2,1,HONOKOHAU_1,MAUKA,3,HONOKOHAU_3,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_3
19,Honokohau.Right.wall,HONOKOHAU,Freshwater,Waterfall,Freshwater,20.90891,-156.58375,778.5,1761,0.442078365,MAUKA.3,MAUKA.2,1,HONOKOHAU_1,MAUKA,3,HONOKOHAU_3,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_3
20,Honokohau.Transect.1.O,HONOKOHAU,Freshwater,Stream,Freshwater,20.961867,-156.585567,346,1761,0.196479273,MID.2,MAUKA.3,2,HONOKOHAU_2,KALA,5,HONOKOHAU_5,HONOKOHAU_KALA,1.Pristine_HONOKOHAU_5
21,Honokohau.Transect.15.Q,HONOKOHAU,Freshwater,Stream,Freshwater,20.960817,-156.586517,269.8,1761,0.153208404,MID.2,MAUKA.3,3,HONOKOHAU_3,KALA,5,HONOKOHAU_5,HONOKOHAU_KALA,1.Pristine_HONOKOHAU_5
22,Honokohau.Transect.6.P,HONOKOHAU,Freshwater,Stream,Freshwater,20.961433,-156.586467,269.4,1761,0.152981261,MID.2,MAUKA.3,3,HONOKOHAU_3,KALA,5,HONOKOHAU_5,HONOKOHAU_KALA,1.Pristine_HONOKOHAU_5
23,Honokohau.USGS.gauge.upstream,HONOKOHAU,Freshwater,Stream,Freshwater,20.960017,-156.587017,274,1761,0.155593413,MID.2,MAUKA.3,3,HONOKOHAU_3,KALA,5,HONOKOHAU_5,HONOKOHAU_KALA,1.Pristine_HONOKOHAU_5
24,Bog.0m,HONOKOHAU,NativeForest,Bog,Freshwater,20.890355,-156.5862045,1756.6,1761,0.99750142,MAUKA.1,MAUKA.1,1,HONOKOHAU_1,MAUKA,1,HONOKOHAU_1,HONOKOHAU_MAUKA,2.Aggriculture_HONOKOHAU_1
