x,sample_replicate,sample_no,library,sequencing_facility,date,site,id,collection_time,,filter_size_um,volume_l,lifestyle,sample_type
1,COBRE_0001_0,COBRE_0001,5,UCI,6/25/19,PAEPAE,WAIKOLU_S1T1,9:46 AM,43641.40694,0.8,0.5,Particle_Bound,Water
2,COBRE_0002_0,COBRE_0002,5,UCI,6/25/19,PAEPAE,WAIKOLU_S1T1,9:46 AM,43641.40694,0.2,0.5,Free_Living,Water
3,COBRE_0003_0,COBRE_0003,5,UCI,6/25/19,PAEPAE,KEALOHI_S2T1,10:02 AM,43641.41806,0.8,0.5,Particle_Bound,Water
4,COBRE_0004_0,COBRE_0004,5,UCI,6/25/19,PAEPAE,KEALOHI_S2T1,10:02 AM,43641.41806,0.2,0.5,Free_Living,Water
5,COBRE_0005_0,COBRE_0005,5,UCI,6/25/19,PAEPAE,HEEIA_MULIWAI_S3T1,10:12 AM,43641.425,0.8,0.5,Particle_Bound,Water
6,COBRE_0006_0,COBRE_0006,5,UCI,6/25/19,PAEPAE,HEEIA_MULIWAI_S3T1,10:12 AM,43641.425,0.2,0.5,Free_Living,Water
7,COBRE_0007_0,COBRE_0007,5,UCI,6/25/19,PAEPAE,HIHIMANU_S4T1,10:35 AM,43641.44097,0.8,0.5,Particle_Bound,Water
8,COBRE_0008_0,COBRE_0008,0,0,6/25/19,PAEPAE,HIHIMANU_S4T1,10:35 AM,43641.44097,0.2,0.5,Free_Living,Water
9,COBRE_0009_0,COBRE_0009,0,0,6/25/19,PAEPAE,WAIKOLU_S1T2,11:08 AM,43641.46389,0.8,0.5,Particle_Bound,Water
10,COBRE_0010_0,COBRE_0010,5,UCI,6/25/19,PAEPAE,WAIKOLU_S1T2,11:08 AM,43641.46389,0.2,0.5,Free_Living,Water
11,COBRE_0011_0,COBRE_0011,0,0,6/25/19,PAEPAE,KEALOHI_S2T2,11:19 AM,43641.47153,0.8,0.5,Particle_Bound,Water
12,COBRE_0012_0,COBRE_0012,5,UCI,6/25/19,PAEPAE,KEALOHI_S2T2,11:19 AM,43641.47153,0.2,0.5,Free_Living,Water
